country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-28,1.1024522111274755,1.2020433084769022,1.0028611137780488,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-29,1.0878941381909175,1.1765353056088927,0.9992529707729424,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-30,1.0640073480461694,1.1495574671577105,0.981721543110979,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-01,1.03916085315563,1.122922538774612,0.9586029497840197,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-02,1.0186218385183012,1.10094786357963,0.9378193641376924,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-03,1.0027168876420731,1.0884854482939088,0.9169483269902374,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-04,0.9903678005091244,1.080457549749445,0.9002780512688039,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-05,0.9827064090630013,1.074830558316833,0.8905822598091697,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-06,0.9818682693075564,1.0734521720764387,0.8902843665386743,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-07,0.9893187289306701,1.0802173606984224,0.8984200971629178,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-08,1.0047007083620214,1.096143839042006,0.9132575776820367,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-09,1.0268224751727844,1.1180274628387161,0.9356174875068527,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-07-10,1.0538043744860155,1.1428310749567254,0.9647776740153056,ITA
